29支标的,2023-02-01买入2023-02-09卖(持有6天),有16支可以盈利，胜率为0.55：,最高价格平均涨幅为:5.13, 开盘价平均涨幅为：1.1, 收盘价平均涨幅为：3.59
36支标的,2023-02-02买入2023-02-10卖(持有6天),有32支可以盈利，胜率为0.89：,最高价格平均涨幅为:7.7, 开盘价平均涨幅为：4.63, 收盘价平均涨幅为：4.84
23支标的,2023-02-03买入2023-02-13卖(持有6天),有13支可以盈利，胜率为0.57：,最高价格平均涨幅为:3.23, 开盘价平均涨幅为：1.45, 收盘价平均涨幅为：2.03
7支标的,2023-02-06买入2023-02-14卖(持有6天),有5支可以盈利，胜率为0.71：,最高价格平均涨幅为:5.03, 开盘价平均涨幅为：3.27, 收盘价平均涨幅为：3.19
17支标的,2023-02-07买入2023-02-15卖(持有6天),有11支可以盈利，胜率为0.65：,最高价格平均涨幅为:5.11, 开盘价平均涨幅为：0.04, 收盘价平均涨幅为：3.16
12支标的,2023-02-08买入2023-02-16卖(持有6天),有9支可以盈利，胜率为0.75：,最高价格平均涨幅为:8.61, 开盘价平均涨幅为：7.17, 收盘价平均涨幅为：3.22
11支标的,2023-02-09买入2023-02-17卖(持有6天),有2支可以盈利，胜率为0.18：,最高价格平均涨幅为:-1.17, 开盘价平均涨幅为：-3.66, 收盘价平均涨幅为：-4.12
12支标的,2023-02-10买入2023-02-20卖(持有6天),有5支可以盈利，胜率为0.42：,最高价格平均涨幅为:1.42, 开盘价平均涨幅为：0.24, 收盘价平均涨幅为：0.53
25支标的,2023-02-13买入2023-02-21卖(持有6天),有7支可以盈利，胜率为0.28：,最高价格平均涨幅为:-1.19, 开盘价平均涨幅为：-2.84, 收盘价平均涨幅为：-2.63
