36支标的,2023-02-02买入2023-02-09卖(持有5天),有30支可以盈利，胜率为0.83：,最高价格平均涨幅为:5.62, 开盘价平均涨幅为：2.17, 收盘价平均涨幅为：4.66
23支标的,2023-02-03买入2023-02-10卖(持有5天),有16支可以盈利，胜率为0.7：,最高价格平均涨幅为:4.21, 开盘价平均涨幅为：0.93, 收盘价平均涨幅为：1.47
7支标的,2023-02-06买入2023-02-13卖(持有5天),有4支可以盈利，胜率为0.57：,最高价格平均涨幅为:3.79, 开盘价平均涨幅为：1.39, 收盘价平均涨幅为：2.04
17支标的,2023-02-07买入2023-02-14卖(持有5天),有7支可以盈利，胜率为0.41：,最高价格平均涨幅为:2.25, 开盘价平均涨幅为：0.97, 收盘价平均涨幅为：1.42
12支标的,2023-02-08买入2023-02-15卖(持有5天),有8支可以盈利，胜率为0.67：,最高价格平均涨幅为:8.56, 开盘价平均涨幅为：4.8, 收盘价平均涨幅为：6.94
11支标的,2023-02-09买入2023-02-16卖(持有5天),有4支可以盈利，胜率为0.36：,最高价格平均涨幅为:1.09, 开盘价平均涨幅为：-0.21, 收盘价平均涨幅为：-3.97
12支标的,2023-02-10买入2023-02-17卖(持有5天),有6支可以盈利，胜率为0.5：,最高价格平均涨幅为:3.34, 开盘价平均涨幅为：1.83, 收盘价平均涨幅为：-0.02
25支标的,2023-02-13买入2023-02-20卖(持有5天),有6支可以盈利，胜率为0.24：,最高价格平均涨幅为:-1.87, 开盘价平均涨幅为：-3.18, 收盘价平均涨幅为：-3.02
14支标的,2023-02-14买入2023-02-21卖(持有5天),有3支可以盈利，胜率为0.21：,最高价格平均涨幅为:-1.47, 开盘价平均涨幅为：-2.93, 收盘价平均涨幅为：-3.27
