F:\GitRoot\stock_pick\report\2023-02-16_list_3yang.txt中 以下标的最高涨幅超过1个点：
000999 华润三九 最高涨幅：2.61%
002429 兆驰股份 最高涨幅：1.33%
002873 新天药业 最高涨幅：2.51%
002955 鸿合科技 最高涨幅：4.76%
300158 振东制药 最高涨幅：10.09%
600535 天士力 最高涨幅：5.41%
600557 康缘药业 最高涨幅：2.96%
600780 通宝能源 最高涨幅：3.18%
600976 健民集团 最高涨幅：1.71%
15支标的,昨买今卖,有9支可以盈利，胜率为0.6：,最高价格平均涨幅为:2.38, 开盘价平均涨幅为：-0.58, 收盘价平均涨幅为：-0.64
