300130 新国都 涨幅：14.61%
300249 依米康 涨幅：2.45%
300592 华凯易佰 涨幅：1.78%
300723 一品红 涨幅：4.54%
300846 首都在线 涨幅：3.56%
301169 零点有数 涨幅：10.09%
301380 挖金客 涨幅：0.18%
7支标的,2023-02-06买入2023-02-15卖(持有7天),有6支可以盈利，胜率为0.86：,最高价格平均涨幅为:5.32, 开盘价平均涨幅为：1.05, 收盘价平均涨幅为：4.4

以下标的表现优秀:
['300130', '新国都\n', 14.61]
['301169', '零点有数\n', 10.09]
