300235 方直科技 涨幅：-8.18%
300320 海达股份 涨幅：-9.0%
300347 泰格医药 涨幅：-1.67%
300409 道氏技术 涨幅：-4.38%
300722 新余国科 涨幅：9.91%
300738 奥飞数据 涨幅：0.46%
300926 博俊科技 涨幅：-2.13%
301046 能辉科技 涨幅：1.12%
301326 捷邦科技 涨幅：-4.42%
301366 一博科技 涨幅：-4.42%
301398 星源卓镁 涨幅：-3.21%
11支标的,2023-02-09买入2023-02-20卖(持有7天),有2支可以盈利，胜率为0.18：,最高价格平均涨幅为:-2.36, 开盘价平均涨幅为：-4.15, 收盘价平均涨幅为：-3.07

以下标的表现优秀:
['300722', '新余国科', 9.91]
