300001 特锐德 涨幅：-4.93%
300039 上海凯宝 涨幅：14.91%
300062 中能电气 涨幅：-2.79%
300141 和顺电气 涨幅：-5.63%
300398 飞凯材料 涨幅：-4.36%
300632 光莆股份 涨幅：-5.3%
300724 捷佳伟创 涨幅：-3.8%
300811 铂科新材 涨幅：-1.28%
300826 测绘股份 涨幅：-3.67%
300981 中红医疗 涨幅：-5.03%
301111 粤万年青 涨幅：-1.59%
301130 西点药业 涨幅：-0.78%
301133 金钟股份 涨幅：-4.67%
13支标的,2023-02-15买入2023-02-22卖(持有5天),有1支可以盈利，胜率为0.08：,最高价格平均涨幅为:-2.22, 开盘价平均涨幅为：-5.39, 收盘价平均涨幅为：-3.83

以下标的表现优秀:
['300039', '上海凯宝', 14.91]
