300235 方直科技 涨幅：-8.18%
300320 海达股份 涨幅：-7.13%
300347 泰格医药 涨幅：-3.14%
300409 道氏技术 涨幅：-2.98%
300722 新余国科 涨幅：11.97%
300738 奥飞数据 涨幅：4.35%
300926 博俊科技 涨幅：-1.63%
301046 能辉科技 涨幅：-0.14%
301326 捷邦科技 涨幅：-2.23%
301366 一博科技 涨幅：-3.3%
301398 星源卓镁 涨幅：-0.47%
11支标的,2023-02-09买入2023-02-17卖(持有6天),有2支可以盈利，胜率为0.18：,最高价格平均涨幅为:-1.17, 开盘价平均涨幅为：-3.66, 收盘价平均涨幅为：-4.12

以下标的表现优秀:
['300722', '新余国科', 11.97]
