300001 特锐德 涨幅：-6.39%
300039 上海凯宝 涨幅：8.73%
300062 中能电气 涨幅：-4.19%
300141 和顺电气 涨幅：-5.92%
300398 飞凯材料 涨幅：-5.27%
300632 光莆股份 涨幅：0.35%
300724 捷佳伟创 涨幅：-0.8%
300811 铂科新材 涨幅：-0.92%
300826 测绘股份 涨幅：-3.32%
300981 中红医疗 涨幅：-4.9%
301111 粤万年青 涨幅：-2.75%
301130 西点药业 涨幅：-1.46%
301133 金钟股份 涨幅：-2.19%
13支标的,2023-02-15买入2023-02-23卖(持有6天),有1支可以盈利，胜率为0.08：,最高价格平均涨幅为:-2.23, 开盘价平均涨幅为：-4.3, 收盘价平均涨幅为：-3.99

以下标的表现优秀:
['300039', '上海凯宝', 8.73]
